10 5000 1 0 0.0 0.683492433365 0.0 
10 5001 1 0 1.0 0.955643148178 0.0 
10 5002 1 0 2.0 1.48664543567 0.0 
10 5003 1 0 3.0 2.11250648149 0.0 
10 5004 1 0 4.0 2.76859472496 0.0 
10 5005 1 0 5.0 3.27971335133 0.0 
10 5006 1 0 6.0 3.71465914246 0.0 
10 5007 1 0 7.0 4.08499876032 0.0 
10 5008 1 0 8.0 4.40835740266 0.0 
10 5009 1 0 9.0 4.68126915992 0.0 
10 5010 1 0 10.0 4.97394685962 0.0 
10 5011 1 0 11.0 5.18842538163 0.0 
10 5012 1 0 12.0 5.42569593875 0.0 
10 5013 1 0 13.0 5.64308937197 0.0 
10 5014 1 0 14.0 5.81452944033 0.0 
10 5015 1 0 15.0 5.98937054477 0.0 
10 5016 1 0 16.0 6.17390366059 0.0 
10 5017 1 0 17.0 6.33176599565 0.0 
10 5018 1 0 18.0 6.46487581503 0.0 
10 5019 1 0 19.0 6.61052445453 0.0 
10 5020 1 0 20.0 6.76457085395 0.0 
10 5021 1 0 21.0 6.93256160507 0.0 
10 5022 1 0 22.0 7.04399381952 0.0 
10 5023 1 0 23.0 7.18785901392 0.0 
10 5024 1 0 24.0 7.33148078605 0.0 
10 5025 1 0 25.0 7.50141170983 0.0 
10 5026 1 0 26.0 7.63421020954 0.0 
10 5027 1 0 27.0 7.7672454714 0.0 
10 5028 1 0 28.0 7.87971350405 0.0 
10 5029 1 0 29.0 7.98279000669 0.0 
10 5030 1 0 30.0 8.12569461694 0.0 
10 5031 1 0 31.0 8.25153502384 0.0 
10 5032 1 0 32.0 8.36844714264 0.0 
10 5033 1 0 33.0 8.51890736589 0.0 
10 5034 1 0 34.0 8.61517633329 0.0 
10 5035 1 0 35.0 8.74405748094 0.0 
10 5036 1 0 36.0 8.88962524139 0.0 
10 5037 1 0 37.0 8.98232348304 0.0 
10 5038 1 0 38.0 9.11136162842 0.0 
10 5039 1 0 39.0 9.25649369554 0.0 
10 5040 1 0 40.0 9.38571310416 0.0 
10 5041 1 0 41.0 9.50460809368 0.0 
10 5042 1 0 42.0 9.61997697277 0.0 
10 5043 1 0 43.0 9.72090180586 0.0 
10 5044 1 0 44.0 9.85961907335 0.0 
10 5045 1 0 45.0 9.98682156726 0.0 
10 5046 1 0 46.0 10.12046462 0.0 
10 5047 1 0 47.0 10.2296963265 0.0 
10 5048 1 0 48.0 10.3633333686 0.0 
10 5049 1 0 49.0 10.4739376286 0.0 
10 5050 1 0 50.0 10.5799121157 0.0 
10 5051 1 0 51.0 10.696647222 0.0 
10 5052 1 0 52.0 10.8502927049 0.0 
10 5053 1 0 53.0 10.9382108542 0.0 
10 5054 1 0 54.0 11.0595097066 0.0 
10 5055 1 0 55.0 11.1826421424 0.0 
10 5056 1 0 56.0 11.3029308844 0.0 
10 5057 1 0 57.0 11.422878649 0.0 
10 5058 1 0 58.0 11.5422701141 0.0 
10 5059 1 0 59.0 11.6664014878 0.0 
10 5060 1 0 60.0 11.7796509581 0.0 
10 5061 1 0 61.0 11.900815323 0.0 
10 5062 1 0 62.0 12.0308350515 0.0 
10 5063 1 0 63.0 12.1217950224 0.0 
10 5064 1 0 64.0 12.2406376699 0.0 
10 5065 1 0 65.0 12.3584163574 0.0 
10 5066 1 0 66.0 12.4878025625 0.0 
10 5067 1 0 67.0 12.6029497575 0.0 
10 5068 1 0 68.0 12.7249762655 0.0 
10 5069 1 0 69.0 12.8286645306 0.0 
10 5070 1 0 70.0 12.9641087985 0.0 
10 5071 1 0 71.0 13.0721893249 0.0 
10 5072 1 0 72.0 13.1933050797 0.0 
10 5073 1 0 73.0 13.2902569649 0.0 
10 5074 1 0 74.0 13.4262575944 0.0 
10 5075 1 0 75.0 13.5288878003 0.0 
10 5076 1 0 76.0 13.6788233352 0.0 
10 5077 1 0 77.0 13.757144459 0.0 
10 5078 1 0 78.0 13.8809812439 0.0 
